sent,word,freq,category
0,tenemos,819,C_capability
0,antes,728,C_capability
0,edad,160,D_decoding
0,cuatro,239,C_capability
0,actualmente,144,C_capability
0,solían,13,C_capability
0,ratones,10,C_capability
0,agregó,0,A_data_gap
1,causada,7,C_capability
1,día,732,C_capability
1,ébola,14,C_capability
1,adecuado,63,C_capability
1,disminuir,18,C_capability
1,aun,109,C_capability
1,sea,803,C_capability
1,pareciera,3,A_data_gap
1,cierta,89,C_capability
1,demostrado,80,C_capability
1,existente,29,C_capability
1,ciencia,184,C_capability
1,infección,14,C_capability
1,vacuna,14,C_capability
1,existe,301,C_capability
1,fármaco,6,C_capability
1,algún,254,C_capability
1,capaz,131,D_decoding
1,hoy,825,C_capability
2,categorías,28,D_decoding
2,protagonizado,0,A_data_gap
2,importantes,302,D_decoding
2,tyan,0,A_data_gap
2,fue,1260,C_capability
2,nominado,0,A_data_gap
2,filme,0,A_data_gap
3,desarrollo,750,D_decoding
3,raquis,0,A_data_gap
3,resultado,296,C_capability
3,bárbulas,0,A_data_gap
3,llegaron,34,C_capability
3,plumaje,0,A_data_gap
3,desarrollado,58,C_capability
3,plumas,11,C_capability
3,denominado,13,C_capability
3,sea,803,C_capability
3,eje,20,C_capability
3,dado,229,C_capability
3,sí,635,C_capability
3,bien,1045,C_capability
3,tiene,1394,D_decoding
3,presenta,36,C_capability
3,otros,839,C_capability
3,conclusión,71,D_decoding
3,evolutivo,7,C_capability
3,rasgos,20,C_capability
3,probable,136,C_capability
3,posterior,44,C_capability
3,investigadores,67,D_decoding
3,cerdas,0,A_data_gap
4,mordió,2,A_data_gap
4,asaltaron,0,A_data_gap
4,matrimonio,39,C_capability
4,detuvo,9,C_capability
4,policía,123,C_capability
4,tíbet,20,C_capability
4,rabia,14,C_capability
5,estudio,182,C_capability
5,grupo,498,C_capability
5,irak,57,C_capability
5,elevó,3,A_data_gap
5,hoy,825,C_capability
5,informe,787,C_capability
6,tanta,50,C_capability
6,pedro,6,C_capability
6,concentró,4,A_data_gap
6,pudieron,31,C_capability
6,fue,1260,D_decoding
6,san,55,D_decoding
6,gente,1029,C_capability
6,plaza,21,C_capability
6,funeral,5,C_capability
7,expansión,46,D_decoding
7,comercial,109,C_capability
7,asiático,32,C_capability
7,derrotas,0,A_data_gap
7,mandato,65,C_capability
7,sobre,2942,D_decoding
7,semana,195,D_decoding
7,medio,533,C_capability
7,luego,490,D_decoding
7,discurso,69,C_capability
7,continente,74,C_capability
7,elecciones,174,C_capability
7,dio,139,C_capability
7,audiencia,58,C_capability
8,nombrada,0,A_data_gap
8,denominó,2,A_data_gap
8,diez,119,C_capability
8,huracanes,10,C_capability
8,hoy,825,C_capability
8,originó,4,A_data_gap
8,tormenta,19,C_capability
8,temporada,19,C_capability
9,materias,33,D_decoding
9,igual,226,C_capability
9,afectan,44,C_capability
9,entre,1557,C_capability
9,llegaron,34,C_capability
9,hace,1049,C_capability
9,conclusión,71,D_decoding
9,sí,635,C_capability
9,expertos,86,C_capability
9,regular,27,D_decoding
9,oscuras,9,C_capability
10,individuos,66,C_capability
10,particular,299,C_capability
10,enfermos,27,C_capability
10,infectados,5,D_decoding
10,total,146,D_decoding
10,xdr,0,A_data_gap
10,6000,2,A_data_gap
10,parece,479,C_capability
10,aún,479,C_capability
10,reducido,37,C_capability
10,formas,201,C_capability
10,333,0,A_data_gap
11,estado,755,C_capability
11,cadáver,3,A_data_gap
11,parecía,62,C_capability
11,policía,123,C_capability
11,manifestó,4,A_data_gap
11,allí,270,C_capability
11,haber,450,C_capability
11,alrededor,217,C_capability
12,estados,1699,C_capability
12,tuvo,109,C_capability
12,dólares,246,C_capability
12,nuevos,283,D_decoding
