sent,word,freq,category
0,tenemos,11600,C_capability
0,antes,11321,C_capability
0,edad,2074,D_decoding
0,cuatro,3535,C_capability
0,actualmente,2686,C_capability
0,solían,96,C_capability
0,ratones,91,C_capability
0,agregó,110,C_capability
1,causada,166,C_capability
1,día,11760,C_capability
1,ébola,83,C_capability
1,adecuado,1343,C_capability
1,disminuir,315,C_capability
1,aun,1200,C_capability
1,sea,11493,C_capability
1,pareciera,69,C_capability
1,enfermedad,1706,C_capability
1,cierta,1133,C_capability
1,demostrado,1216,C_capability
1,existente,582,C_capability
1,ciencia,1432,C_capability
1,vacuna,164,C_capability
1,existe,4245,C_capability
1,fármaco,75,C_capability
1,algún,3156,C_capability
1,tratar,2006,D_decoding
1,capaz,1640,D_decoding
1,hoy,11747,C_capability
2,categorías,904,D_decoding
2,protagonizado,15,C_capability
2,nominado,20,C_capability
2,fue,13929,C_capability
2,tyan,0,A_data_gap
2,filme,41,C_capability
3,desarrollo,12308,D_decoding
3,raquis,2,A_data_gap
3,otras,8485,D_decoding
3,resultado,4003,C_capability
3,bárbulas,0,A_data_gap
3,llegaron,332,C_capability
3,plumaje,9,C_capability
3,desarrollado,786,C_capability
3,plumas,104,C_capability
3,denominado,245,D_decoding
3,sea,11493,C_capability
3,eje,350,C_capability
3,dado,3968,D_decoding
3,sí,12492,C_capability
3,bien,17123,C_capability
3,tiene,21317,D_decoding
3,presenta,1182,C_capability
3,otros,13610,C_capability
3,conclusión,1150,D_decoding
3,evolutivo,52,C_capability
3,rasgos,191,C_capability
3,probable,1200,C_capability
3,posterior,640,C_capability
3,investigadores,623,D_decoding
3,cerdas,16,C_capability
4,mordió,10,C_capability
4,asaltaron,13,C_capability
4,matrimonio,776,C_capability
4,detuvo,102,C_capability
4,policía,1925,C_capability
4,tíbet,252,C_capability
4,rabia,94,C_capability
5,estudio,2492,C_capability
5,grupo,9322,C_capability
5,irak,404,C_capability
5,elevó,39,C_capability
5,hoy,11747,C_capability
5,informe,17030,C_capability
6,tanta,631,C_capability
6,pedro,372,C_capability
6,concentró,24,C_capability
6,pudieron,267,C_capability
6,fue,13929,D_decoding
6,san,2811,D_decoding
6,gente,7401,C_capability
6,plaza,706,C_capability
6,funeral,116,C_capability
7,expansión,511,D_decoding
7,comercial,1868,C_capability
7,asiático,257,C_capability
7,derrotas,18,C_capability
7,mandato,1082,C_capability
7,sobre,52756,D_decoding
7,semana,3518,D_decoding
7,medio,8442,C_capability
7,luego,5529,D_decoding
7,discurso,868,C_capability
7,continente,987,C_capability
7,elecciones,2338,C_capability
7,dio,1445,C_capability
7,audiencia,524,C_capability
8,nombrada,37,C_capability
8,denominó,22,C_capability
8,día,11760,C_capability
8,diez,1921,C_capability
8,huracanes,73,C_capability
8,hoy,11747,C_capability
8,originó,59,C_capability
8,tormenta,278,C_capability
8,temporada,641,C_capability
9,materias,592,D_decoding
9,igual,3279,C_capability
9,afectan,642,C_capability
9,entre,24583,C_capability
9,llegaron,332,C_capability
9,hace,13554,C_capability
9,conclusión,1150,D_decoding
9,sí,12492,C_capability
9,expertos,1382,C_capability
9,regular,650,D_decoding
9,oscuras,102,C_capability
10,individuos,584,C_capability
10,particular,4933,C_capability
10,enfermos,258,C_capability
10,infectados,48,D_decoding
10,total,2846,D_decoding
10,xdr,0,A_data_gap
10,6000,49,C_capability
10,parece,6787,C_capability
10,aún,6600,C_capability
10,reducido,578,C_capability
10,formas,2255,D_decoding
10,333,17,C_capability
11,estado,11821,C_capability
11,cadáver,138,C_capability
11,parecía,609,C_capability
11,manifestó,117,C_capability
11,allí,3994,C_capability
11,haber,5681,C_capability
11,alrededor,2252,C_capability
12,estados,24062,C_capability
12,tuvo,1520,C_capability
12,dólares,2691,C_capability
12,nuevos,5080,D_decoding
12,siendo,4087,C_capability
12,visibles,147,C_capability
12,ministro,2174,D_decoding
12,además,8457,D_decoding
12,participación,2464,C_capability
12,labor,1322,C_capability
