sent,word,freq,category
0,now,2000,C_capability
0,old,419,D_decoding
0,diabetic,3,A_data_gap
0,added,66,C_capability
0,mice,11,C_capability
0,month,141,C_capability
0,non,246,C_capability
1,experimental,15,C_capability
1,now,2000,D_decoding
1,clearly,216,C_capability
1,drugs,89,C_capability
1,existing,113,C_capability
1,up,2086,C_capability
1,appears,70,C_capability
1,one,3037,C_capability
1,until,299,C_capability
1,able,602,C_capability
1,while,593,C_capability
1,demonstrated,41,C_capability
1,infection,12,C_capability
2,ryan,6,C_capability
2,movie,66,C_capability
2,received,87,C_capability
2,nominations,0,A_data_gap
2,featuring,2,A_data_gap
2,categories,24,D_decoding
3,shaft,0,A_data_gap
3,features,25,D_decoding
3,rachis,0,A_data_gap
3,inferred,0,A_data_gap
3,called,485,C_capability
3,barbs,0,A_data_gap
3,because,2235,C_capability
3,evolutionary,19,C_capability
4,attacked,22,C_capability
4,robbed,5,C_capability
4,tibet,23,C_capability
4,rabid,2,A_data_gap
5,presented,79,C_capability
6,st,11,C_capability
6,access,269,D_decoding
6,possible,469,D_decoding
6,everybody,118,C_capability
6,peter,25,D_decoding
6,large,320,C_capability
6,gain,58,C_capability
6,square,56,D_decoding
6,present,230,C_capability
7,trade,444,C_capability
7,asia,203,C_capability
7,losses,41,C_capability
7,midterm,5,C_capability
7,about,2901,C_capability
7,told,284,C_capability
7,election,137,C_capability
7,audience,78,D_decoding
8,formed,20,C_capability
8,hurricane,10,C_capability
8,atlantic,37,C_capability
8,tenth,9,C_capability
8,season,31,D_decoding
8,ocean,93,D_decoding
9,conclude,44,D_decoding
9,matter,357,D_decoding
9,scientists,116,C_capability
9,able,602,D_decoding
10,particular,338,C_capability
10,percentage,26,C_capability
10,tuberculosis,14,D_decoding
10,moment,260,D_decoding
10,seems,210,D_decoding
10,entire,171,C_capability
10,low,214,C_capability
10,however,516,C_capability
10,south,211,D_decoding
10,still,719,C_capability
10,330,0,A_data_gap
10,infected,22,D_decoding
10,000,356,D_decoding
10,people,2853,D_decoding
10,group,477,C_capability
11,about,2901,C_capability
11,said,877,D_decoding
11,appeared,19,D_decoding
12,engaged,48,C_capability
12,work,1118,D_decoding
12,recent,255,C_capability
12,bills,18,C_capability
12,many,1362,D_decoding
12,countries,1309,C_capability
12,front,134,C_capability
12,portraits,0,A_data_gap
12,banknotes,0,A_data_gap
12,including,299,C_capability
12,engraving,0,A_data_gap
12,100,151,D_decoding
12,prime,117,C_capability
12,ministerial,19,C_capability
12,examples,66,D_decoding
13,encouragement,11,C_capability
13,due,152,C_capability
13,female,62,C_capability
13,necessity,25,D_decoding
13,male,56,D_decoding
13,medication,17,C_capability
13,urging,7,C_capability
13,multitude,5,C_capability
13,came,324,C_capability
13,sent,89,C_capability
13,contraception,3,A_data_gap
13,individuals,102,C_capability
14,requirement,28,C_capability
14,meet,156,C_capability
14,geophysics,0,A_data_gap
14,quake,0,A_data_gap
15,outbreak,18,C_capability
15,spokesman,0,A_data_gap
15,frontiere,0,A_data_gap
15,worst,77,C_capability
15,richard,25,C_capability
15,medecines,0,A_data_gap
15,veerman,0,A_data_gap
15,remains,121,C_capability
15,bad,240,C_capability
16,located,21,C_capability
16,astrogeology,0,A_data_gap
16,constant,39,C_capability
16,united,567,C_capability
16,ground,117,D_decoding
16,holes,17,C_capability
16,steady,11,C_capability
16,behavior,93,C_capability
16,maintain,80,C_capability
16,northern,77,C_capability
16,usgs,0,A_data_gap
16,fairly,39,C_capability
