item_id,cefr_level,kind,section,concept_group,concept
pcic-00001,A1,grammar,gramatica,1.1. Clases de sustantivos,"Nombres de pila sin artículo María , Antonio"
pcic-00002,A1,grammar,gramatica,1.1. Clases de sustantivos,"Hipocorísticos y diminutivos Pepe (José), Paco (Francisco), Chelo (Consuelo), Lola (Dolores) [Hispanoamérica] Chayo (Rosario), Chava (Isabel), Güicho (Luis), Pancho (Francisco)"
pcic-00003,A1,grammar,gramatica,1.1. Clases de sustantivos,"Apellidos sin artículo Fernández , González"
pcic-00004,A1,grammar,gramatica,1.1. Clases de sustantivos,[Ecuador y Colombia] Don y doña + nombre / apellido sin connotación despreciativa. Uso exclusivo con sustantivo para ciertos estratos sociales
pcic-00005,A1,grammar,gramatica,1.1. Clases de sustantivos,[República Dominicana] Su merced
pcic-00006,A1,grammar,gramatica,1.1. Clases de sustantivos,"Países sin artículo España , Italia"
pcic-00007,A1,grammar,gramatica,1.1. Clases de sustantivos,Excepción: El Salvador
pcic-00008,A1,grammar,gramatica,1.1. Clases de sustantivos,"Ciudades y localidades Madrid , París , Alcalá de Henares"
pcic-00009,A1,grammar,gramatica,1.1. Clases de sustantivos,"Nombres de periodos temporales mediodía , tarde , noche"
pcic-00010,A2,grammar,gramatica,1.1. Clases de sustantivos,"Topónimos que llevan incorporado el artículo La Coruña , El Escorial , La Habana"
pcic-00011,A2,grammar,gramatica,1.1. Clases de sustantivos,"Nombres de instituciones Instituto Cervantes , Universidad Complutense"
pcic-00012,A2,grammar,gramatica,1.1. Clases de sustantivos,"Nombres de cargos, departamentos Director , Centro de idiomas"
pcic-00013,A2,grammar,gramatica,1.1. Clases de sustantivos,"Nombres de materias o disciplinas Física , Medicina"
pcic-00014,A2,grammar,gramatica,1.1. Clases de sustantivos,"Nombres de periodos temporales Pascua , Nochevieja"
pcic-00015,A2,grammar,gramatica,1.1. Clases de sustantivos,"Nombres eventivos accidente , concierto"
pcic-00016,A1,grammar,gramatica,1.2. El género de los sustantivos,"Masculino en o y femenino en a amigo , vecino , libro amiga , vecina , casa"
pcic-00017,A1,grammar,gramatica,1.2. El género de los sustantivos,"Vocales que no sean o / a el peine , la muerte"
pcic-00018,A1,grammar,gramatica,1.2. El género de los sustantivos,"Consonante el árbol , la catedral , la solución , el corazón"
pcic-00019,A1,grammar,gramatica,1.2. El género de los sustantivos,"Procedente de una abreviación la moto / motocicleta , la foto / fotografía , la radio / radiodifusión"
pcic-00020,A1,grammar,gramatica,1.2. El género de los sustantivos,"Heteronimia el padre / la madre , el hombre / la mujer"
