chunk_id,model,n_items,n_target,batch_path,out_path
claudesonnet46__01,claude-sonnet-4.6,50,250,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\claudesonnet46__01.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\claudesonnet46__01.jsonl
claudesonnet46__02,claude-sonnet-4.6,50,250,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\claudesonnet46__02.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\claudesonnet46__02.jsonl
claudesonnet46__03,claude-sonnet-4.6,50,250,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\claudesonnet46__03.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\claudesonnet46__03.jsonl
claudesonnet46__04,claude-sonnet-4.6,50,250,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\claudesonnet46__04.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\claudesonnet46__04.jsonl
claudesonnet46__05,claude-sonnet-4.6,50,250,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\claudesonnet46__05.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\claudesonnet46__05.jsonl
claudesonnet46__06,claude-sonnet-4.6,50,250,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\claudesonnet46__06.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\claudesonnet46__06.jsonl
claudesonnet46__07,claude-sonnet-4.6,50,250,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\claudesonnet46__07.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\claudesonnet46__07.jsonl
claudesonnet46__08,claude-sonnet-4.6,37,185,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\claudesonnet46__08.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\claudesonnet46__08.jsonl
gpt54__01,gpt-5.4,50,250,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\gpt54__01.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\gpt54__01.jsonl
gpt54__02,gpt-5.4,50,250,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\gpt54__02.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\gpt54__02.jsonl
gpt54__03,gpt-5.4,50,250,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\gpt54__03.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\gpt54__03.jsonl
gpt54__04,gpt-5.4,50,250,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\gpt54__04.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\gpt54__04.jsonl
gpt54__05,gpt-5.4,50,250,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\gpt54__05.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\gpt54__05.jsonl
gpt54__06,gpt-5.4,50,250,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\gpt54__06.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\gpt54__06.jsonl
gpt54__07,gpt-5.4,50,250,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\gpt54__07.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\gpt54__07.jsonl
gpt54__08,gpt-5.4,37,185,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\gpt54__08.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\gpt54__08.jsonl
gpt55__01,gpt-5.5,50,250,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\gpt55__01.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\gpt55__01.jsonl
gpt55__02,gpt-5.5,50,250,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\gpt55__02.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\gpt55__02.jsonl
gpt55__03,gpt-5.5,50,250,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\gpt55__03.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\gpt55__03.jsonl
gpt55__04,gpt-5.5,50,250,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\gpt55__04.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\gpt55__04.jsonl
gpt55__05,gpt-5.5,50,250,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\gpt55__05.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\gpt55__05.jsonl
gpt55__06,gpt-5.5,50,250,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\gpt55__06.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\gpt55__06.jsonl
gpt55__07,gpt-5.5,50,250,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\gpt55__07.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\gpt55__07.jsonl
gpt55__08,gpt-5.5,37,185,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\gpt55__08.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\gpt55__08.jsonl
gemini31propreview__01,gemini-3.1-pro-preview,50,250,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\gemini31propreview__01.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\gemini31propreview__01.jsonl
gemini31propreview__02,gemini-3.1-pro-preview,50,250,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\gemini31propreview__02.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\gemini31propreview__02.jsonl
gemini31propreview__03,gemini-3.1-pro-preview,50,250,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\gemini31propreview__03.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\gemini31propreview__03.jsonl
gemini31propreview__04,gemini-3.1-pro-preview,50,250,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\gemini31propreview__04.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\gemini31propreview__04.jsonl
gemini31propreview__05,gemini-3.1-pro-preview,50,250,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\gemini31propreview__05.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\gemini31propreview__05.jsonl
gemini31propreview__06,gemini-3.1-pro-preview,50,250,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\gemini31propreview__06.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\gemini31propreview__06.jsonl
gemini31propreview__07,gemini-3.1-pro-preview,50,250,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\gemini31propreview__07.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\gemini31propreview__07.jsonl
gemini31propreview__08,gemini-3.1-pro-preview,37,185,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\gemini31propreview__08.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\gemini31propreview__08.jsonl
gemini35flash__01,gemini-3.5-flash,50,250,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\gemini35flash__01.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\gemini35flash__01.jsonl
gemini35flash__02,gemini-3.5-flash,50,250,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\gemini35flash__02.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\gemini35flash__02.jsonl
gemini35flash__03,gemini-3.5-flash,50,250,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\gemini35flash__03.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\gemini35flash__03.jsonl
gemini35flash__04,gemini-3.5-flash,50,250,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\gemini35flash__04.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\gemini35flash__04.jsonl
gemini35flash__05,gemini-3.5-flash,50,250,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\batches\chunks\gemini35flash__05.jsonl,Q:\nasa-yuwe-mt\data\synthetic_a1_a2\generated_full\gemini35flash__05.jsonl
