sent,word,freq,category
0,old,6406,D_decoding
0,diabetic,33,D_decoding
0,added,1769,C_capability
0,mice,91,C_capability
0,month,2146,C_capability
0,non,3732,C_capability
0,used,8804,C_capability
1,experimental,170,C_capability
1,now,29993,D_decoding
1,clearly,3360,C_capability
1,drugs,1211,C_capability
1,existing,2019,C_capability
1,reduce,2227,D_decoding
1,up,29830,C_capability
1,appears,911,C_capability
1,one,40378,C_capability
1,until,4452,C_capability
1,able,8175,C_capability
1,suitable,745,C_capability
1,while,8592,C_capability
1,infection,391,C_capability
2,emma,91,D_decoding
2,ryan,54,C_capability
2,major,3878,C_capability
2,gosling,2,A_data_gap
2,movie,599,C_capability
2,received,1949,C_capability
2,stone,708,D_decoding
2,nominations,35,C_capability
2,featuring,250,C_capability
2,categories,829,D_decoding
3,shaft,78,C_capability
3,features,1838,D_decoding
3,researchers,588,D_decoding
3,rachis,0,A_data_gap
3,feathers,68,C_capability
3,inferred,23,C_capability
3,barbules,0,A_data_gap
3,called,5543,C_capability
3,barbs,6,C_capability
3,because,23649,C_capability
3,evolutionary,119,C_capability
4,attacked,230,C_capability
4,robbed,107,C_capability
4,tibet,273,C_capability
5,today,12252,C_capability
5,study,2662,D_decoding
5,presented,1819,C_capability
6,st,871,C_capability
6,access,5780,D_decoding
6,possible,8690,D_decoding
6,everybody,1347,C_capability
6,peter,417,D_decoding
6,large,5034,C_capability
6,gain,890,C_capability
6,square,1032,D_decoding
6,present,4675,C_capability
7,trade,5858,C_capability
7,losses,487,C_capability
7,midterm,25,C_capability
7,about,37440,C_capability
7,after,13141,C_capability
7,told,3502,C_capability
7,election,1322,C_capability
7,week,3063,D_decoding
7,audience,631,D_decoding
8,formed,432,C_capability
8,today,12252,C_capability
8,hurricane,151,C_capability
8,atlantic,519,C_capability
8,tenth,119,C_capability
8,ocean,802,D_decoding
9,conclude,895,D_decoding
9,matter,6052,D_decoding
9,scientists,815,C_capability
9,able,8175,D_decoding
10,particular,6280,C_capability
10,percentage,491,C_capability
10,tuberculosis,138,D_decoding
10,moment,3477,D_decoding
10,seems,2768,D_decoding
10,entire,2100,C_capability
10,low,4023,C_capability
10,however,10371,C_capability
10,south,3118,D_decoding
10,still,9898,C_capability
10,330,29,C_capability
10,infected,231,D_decoding
10,000,5007,D_decoding
10,people,28134,D_decoding
10,group,9093,C_capability
11,about,37440,C_capability
12,including,6320,C_capability
12,100,2667,D_decoding
12,engraving,32,C_capability
12,engaged,648,C_capability
12,prime,1416,C_capability
12,work,16741,D_decoding
12,recent,3566,C_capability
12,examples,947,D_decoding
12,ministerial,207,C_capability
12,bills,218,C_capability
12,many,16063,D_decoding
12,countries,17724,C_capability
12,front,2341,C_capability
12,portraits,84,C_capability
13,conclusion,1352,D_decoding
13,medical,1736,C_capability
13,medication,241,C_capability
13,individuals,1196,C_capability
13,due,2900,C_capability
13,encouragement,164,C_capability
13,female,781,C_capability
13,necessity,345,D_decoding
13,urging,104,C_capability
13,multitude,89,C_capability
13,came,3951,C_capability
13,sent,1973,C_capability
13,contraception,38,C_capability
13,male,611,D_decoding
14,requirement,648,C_capability
14,meet,3160,C_capability
14,issued,617,D_decoding
14,quake,23,C_capability
14,warning,625,C_capability
14,geophysics,2,A_data_gap
15,outbreak,173,C_capability
15,spokesman,70,D_decoding
15,sans,28,C_capability
15,frontiere,0,A_data_gap
15,worst,752,C_capability
15,said,13131,D_decoding
15,medecines,0,A_data_gap
15,situation,7055,D_decoding
15,remains,1696,C_capability
15,bad,2718,C_capability
16,located,2190,C_capability
16,fairly,452,C_capability
16,often,4430,C_capability
16,astrogeology,0,A_data_gap
16,ground,1695,D_decoding
16,maintain,1530,C_capability
16,large,5034,C_capability
16,temperature,1010,D_decoding
16,team,2159,C_capability
16,united,7569,C_capability
16,northern,939,C_capability
16,usgs,3,A_data_gap
16,earth,2022,C_capability
16,states,21024,D_decoding
16,holes,254,C_capability
16,constant,636,C_capability
16,steady,227,C_capability
16,behavior,761,C_capability
16,thermal,242,C_capability
17,featured,266,D_decoding
17,actors,398,D_decoding
17,show,5493,C_capability
17,amateur,82,C_capability
17,voice,1606,C_capability
17,east,2449,C_capability
17,texas,384,D_decoding
17,local,3844,C_capability
18,united,7569,C_capability
18,received,1949,C_capability
18,immediate,914,C_capability
18,earthquake,261,C_capability
18,states,21024,D_decoding
18,reports,2084,D_decoding
19,negative,1178,C_capability
19,aired,27,C_capability
19,tough,697,C_capability
19,advertisements,84,C_capability
19,behalf,3818,C_capability
